Name;ID;RegistrationDate;Location;Owner;Flow;MaintenanceTime;Road
Остановочный пункт д. Новое Село;69030;05.06.2017;д. Новое Село а/д «Титово – Белый Городок – Приволжский», 3км+603м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Титово – Белый Городок – Приволжский», 3км
Остановочный пункт п. Энем 23км;1082;05.06.2017;п Энем а/д А-146 «Краснодар - Верхнебаканский», 23км+815м (справа), 23км+737м (слева);"ФКУ Упрдор ""Черноморье""";12;5;а/д А-146 Краснодар - Верхнебаканский, ул. Перова
Остановочный пункт д. Десятины;69118;05.06.2017;д. Десятины а/д «Старица – Степурино – Сидорово – граница Московской области», 15км+009м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Старица – Степурино – Сидорово – граница Московской области», 15км
КП г. Грязовец;35006;21.11.2016;162000  г. Грязовец Вологодская область, г. Грязовец, ул. Победы, 42;"АО ""Грязовецкое АТП""";24;5;1 вариант: г. Грязовец (пр-т Ленина, ул. Обнорского, ул. Победы), 2 вариант: г. Грязовец (пр-т Ленина, ул. К. Маркса, ул. Победы)
ОП п. Яшкуль;8009;15.12.2016;пгт Яшкуль Республика Калмыкия, Яшкульский р-н, п. Яшкуль, ул. Клыкова, д. 25;"ООО ""Транс-Юг""";36;5;Р-216, п. Яшкуль (ул. Клыкова)
АС п. Кез;18009;05.12.2016;п. Кез Республика Удмуртия, п. Кез, ул. Пушкина, 6;"АО ""Автовокзалы Удмуртии""";5;;п. Кез (ул. Пушкина)
ОП г. Одинцово-1;50454;20.04.2017;г. Одинцово Новый выход на МКАД с а/д М-1 «Беларусь», Подушкинская транспортная развязка, справа;"ГК ""Автодор""";12;2;Новый выход на МКАД с а/д М-1 «Беларусь», Подушкинская транспортная развязка, справа
ОП д. Пяльма 526км;10049;20.05.2017;д. Пяльма а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 526км+663м (слева), 526км+705м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 526км
"КП ""Половинский""";45026;18.07.2016;с. Половинное Курганская обл., с. Половинное, ул. Ленина, 4а;Курганское ОАО по обслуживанию пассажирских автоперевозок;12;5;с. Половинное (ул. Ленина), с. Половинное (ул. Энергетиков)
ОП д. Заполье 188км;60140;13.03.2017;"п. Заполье ФАД Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" н.п. Заполье 188км.+762м. (слева), 188км.+925м. (справа)";"ФКУ ""Севзапуправтодор""";12;5;"Р-23 ""Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия"" д. Заполье 188км"
ОП п. Зимовники;61019;20.10.2016;"347460 п. Зимовники Ростовская область, п. Зимовники, ул. Савина, 7 ""в""";"ПАО ""Донавтовокзал""";17;1;ул. Магистральная, пер. Мостовой, ул. Савина
ОП с. Соузга;4029;22.03.2017;"с. Соузга АД Р-256 ""Чуйский тракт"" Новосибирск - Барнаул-Горно-Алтайск – граница с Монголией (в границах Республики Алтай)  456км.+ 378м. (справа), 456км.+ 328м. (слева)";"ФКУ Упрдор ""Алтай""";12;5;"АД Р-256 ""Чуйский тракт"" Новосибирск - Барнаул-Горно-Алтайск – граница с Монголией (в границах Республики Алтай), 456 км, с. Соузга"
Остановочный пункт д. Попадьино;69119;05.06.2017;д. Попадьино а/д «Старица – Степурино – Сидорово – граница Московской области», 10км+889м (слева);"ГКУ ""Дирекция ТДФ""";20;3;а/д «Старица – Степурино – Сидорово – граница Московской области», 10км
АВ г. Тюмень;72025;29.09.2016;г. Тюмень Тюменская область, г. Тюмень, ул. Пермякова, 9;"ГБУ ТО ""Объединение АВ и АС""";45;5;"1 вариант: Р-402, ул. Республики, ул. Пермякова, 2 вариант: Р-404, ул. Дружбы, ул. Алебашевская, ул. Профсоюзная, ул. 50 лет Октября, ул. Пермякова, 3 вариант: а/д ""Тюмень-Нижняя Тавда-Верхняя Тавда"", ул. Щербакова, ул. Дружбы, ул. Алебашевская, ул. Профсоюзная, ул. 50 лет Октября, ул. Пермякова, 4 вариант: Р-254, ул. Червишевский тракт, ул. Федюнинского, ул. Мельникайте, ул. 30 лет Победы, ул. Пермякова, 5 вариант: Р-351, ул. Московский тракт, ул. Закалужская, ул. Федюнинского, ул. Мельникайте, ул. 30 лет Победы, ул. Пермякова, 6 вариант: Р-401, ул. Ямская, Обход г. Тюмень, , ул. ул. Закалужская, ул. Федюнинского, ул. Мельникайте, ул. 30 лет Победы, ул. Пермякова"
АС г. Мариинск;42008;21.11.2016;"652160 г. Мариинск Кемеровская область, г. Мариинск, ул. Дорожная, 1 ""Г""";"Государственное учреждение ""Кузбасспассажиравтотранс""";16;1;Со стороны г. Кемерово (ул. Котовского, ул. 50 лет Октября, ул. Ленина, ул. Дорожная), Со стороны пгт Тяжкин (ул. Магистральная, ул. Рабочая, ул. Дорожная), Со стороны г. Томск (ул. Антибесская, ул. Загородная, ул. Лазо, ул. Дорожная)
ОП г. Рассвет 1048 км;61088;03.04.2017;"г. Рассвет а/д М-4 «Дон» Москва – Воронеж – Ростов-на-Дону – Краснодар – Новороссийск, г. Рассвет 1048км+610м (справа), 1048км+530м (слева)";"ГК ""Автодор""";20;2;"М-4 ""Дон"" 1048 км, г. Рассвет"
Кошехабльская автокасса;1001;02.02.2017;385400 а. Кошехабль Республика Адыгея, а. Кошехабль, ул. Дружбы Народов, 59;"АО ""Объединение автовокзалов и пассажирских автостанций""";24;5;1 вариант: а. Кошехабль (ул. Восточная, ул. Промышленная, ул. Дружбы Народов), 2 вариант: а. Кошехабль (ул. Заводская, ул. Промышленная, ул. Дружбы Народов), 3 вариант: а. Кошехабль (ул. Джаримова, ул. Гагарина, ул. Айзмана, ул. Дружбы Народов), 4 вариант: а. Кошехабль (ул. Дружбы Народов)
"АВ  ""Центральный"" г. Чебоксары";21027;21.11.2016;428024 г. Чебоксары Чувашская Республика, г. Чебоксары, пр-т Мира, 78;"АО ""АвтоВАС""";60;5;1 вариант: М7, г. Чебоксары (Ишлейское шоссе, Вурнарское шоссе, ул. Ленинского комсомола, Эгерский бульвар, пр-т Мира), 2 вариант: М7, г. Чебоксары (Канашское шоссе, пр. И. Яковлева, ул. Ленинского комсомола, Эгерский бульвар, пр-т Мира), 3 вариант: Р-176, г. Чебоксары (Марпосадское шоссе, пр-т Мира)
ОП п. Калининец 5км;50464;05.05.2017;п. Калининец а/д А-107 «Московское малое кольцо» 5км+669м (справа), 5км+758м (слева);"ГК ""Автодор""";12;2;а/д А-107 «Московское малое кольцо», Можайско-Волоколамское шоссе: съезд в остановочный карман 5км
"АС ""ВДНХ""";77013;11.07.2016;129366 г. Москва г. Москва, пл. Шарля де Голля (напротив 2А по ул. Космонавтов);"ГУП ""Мосгортранс""";22;1;1 вариант: г. Москва (Ярославское шоссе, проспект Мира, ул. Космонавтов), 2 вариант: г. Москва (МКАД, Ярославское шоссе, проспект Мира, ул. Космонавтов)
ОП д. Римское;10051;20.05.2017;д. Римское а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 513км+700м (слева), 513км+906м (справа);"ФКУ Упрдор ""Кола""";12;2;а/д А-119 «Вологда – Медвежьегорск – автомобильная дорога Р-21 «Кола», 513км
